Status.state;NomeEntidade;NumFistel;NumServico;NumAto;NumEstacao;EnderecoEstacao;EndComplemento;SiglaUf;CodMunicipio;DesignacaoEmissao;Tecnologia;tipoTecnologia;meioAcesso;FreqTxMHz;FreqRxMHz;Azimute;CodTipoClasseEstacao;ClassInfraFisica;CompartilhamentoInfraFisica;CodTipoAntena;CodEquipamentoAntena;GanhoAntena;FrenteCostaAntena;AnguloMeiaPotenciaAntena;AnguloElevacao;Polarizacao;AlturaAntena;CodEquipamentoTransmissor;PotenciaTransmissorWatts;Latitude;Longitude;CodDebitoTFI;DataLicenciamento;DataPrimeiroLicenciamento;NumRede;_id;DataValidade;NumFistelAssociado;NomeEntidadeAssociado
LIC-LIC-01;TELEFONICA BRASIL S.A.;50409146366;10;71842008;64300;RUA FLORIANO PEIXOTO, 358;;AC;1200401;5M00G9W;WCDMA;;;874.5;829.5;40;FB;;NA;760;5200301293;11.2;23;65;0;X;35;19980701882;40;-9.972025;-67.813556;G;2023-01-04;2000-11-27;;4d5c019f58c7e;2024-07-21;;
LIC-LIC-01;TELEFONICA BRASIL S.A.;50409146366;10;71842008;64300;RUA FLORIANO PEIXOTO, 358;;AC;1200401;200KG7W;GSM;;;874.5;829.5;40;FB;;NA;760;7690501705;14.3;26;82;0;X;35;910502519;32.5;-9.972025;-67.813556;G;2023-01-04;2000-11-27;;4d5c019f58c85;2024-07-21;;
LIC-LIC-01;TELEFONICA BRASIL S.A.;50409146366;10;71842008;64300;RUA FLORIANO PEIXOTO, 358;;AC;1200401;200KG7W;GSM;;;874.5;829.5;180;FB;;NA;760;7690501705;14.3;26;82;0;X;35;910502519;32.5;-9.972025;-67.813556;G;2023-01-04;2000-11-27;;4d5c019f58c86;2024-07-21;;
LIC-LIC-01;TELEFONICA BRASIL S.A.;50409146366;10;71842008;64300;RUA FLORIANO PEIXOTO, 358;;AC;1200401;5M00G9W;WCDMA;;;874.5;829.5;180;FB;;NA;760;5200301293;11.2;23;65;0;X;35;19980701882;40;-9.972025;-67.813556;G;2023-01-04;2000-11-27;;4d5c019f58c87;2024-07-21;;
LIC-LIC-01;TELEFONICA BRASIL S.A.;50409146366;10;71842008;64300;RUA FLORIANO PEIXOTO, 358;;AC;1200401;200KG7W;GSM;;;874.5;829.5;280;FB;;NA;760;7690501705;14.3;26;82;0;X;35;910502519;32.5;-9.972025;-67.813556;G;2023-01-04;2000-11-27;;4d5c019f58c8f;2024-07-21;;
LIC-LIC-01;TELEFONICA BRASIL S.A.;50409146366;10;71842008;64300;RUA FLORIANO PEIXOTO, 358;;AC;1200401;5M00G9W;WCDMA;;;874.5;829.5;280;FB;;NA;760;5200301293;11.2;23;65;0;X;35;19980701882;40;-9.972025;-67.813556;G;2023-01-04;2000-11-27;;4d5c019f58c90;2024-07-21;;
LIC-LIC-01;CLARO S.A.;50409889580;10;35352011;5180376;R DEZESSEIS, S/N, CONJUNTO MASCARENHA DE MORAES;;AC;1200401;200KG7W;GSM;;;1825;1820;350.0;FB;Greenfield;NA;760;19221503257;14.53;27.0;62.03;1.0;x;73.0;23491603257;40.0;-9.93984;-67.8724;G;2020-09-28;2003-03-06;;4d5c019f68996;2023-04-30;;
LIC-LIC-01;CLARO S.A.;50409889580;10;37812011;5180376;R DEZESSEIS, S/N, CONJUNTO MASCARENHA DE MORAES;;AC;1200401;200KG7W;GSM;;;1880;1870;350.0;FB;Greenfield;NA;760;19221503257;14.53;27.0;62.03;1.0;x;73.0;23491603257;40.0;-9.93984;-67.8724;G;2020-09-28;2003-03-06;;4d5c019f68997;2027-07-02;;
LIC-LIC-01;CLARO S.A.;50409889580;10;35352011;5180376;R DEZESSEIS, S/N, CONJUNTO MASCARENHA DE MORAES;;AC;1200401;200KG7W;GSM;;;1825;1820;140.0;FB;Greenfield;NA;760;21221203701;13.82;28.0;71.92;1.0;x;73.0;23491603257;40.0;-9.93984;-67.8724;G;2020-09-28;2003-03-06;;4d5c019f68998;2023-04-30;;
LIC-LIC-01;CLARO S.A.;50409889580;10;37812011;5180376;R DEZESSEIS, S/N, CONJUNTO MASCARENHA DE MORAES;;AC;1200401;200KG7W;GSM;;;1880;1870;140.0;FB;Greenfield;NA;760;21221203701;13.82;28.0;71.92;1.0;x;73.0;23491603257;40.0;-9.93984;-67.8724;G;2020-09-28;2003-03-06;;4d5c019f68999;2027-07-02;;
