Status.state;NomeEntidade;NumFistel;NumServico;NumAto;NumEstacao;EnderecoEstacao;EndComplemento;SiglaUf;CodMunicipio;DesignacaoEmissao;Tecnologia;tipoTecnologia;meioAcesso;FreqTxMHz;FreqRxMHz;Azimute;CodTipoClasseEstacao;ClassInfraFisica;CompartilhamentoInfraFisica;CodTipoAntena;CodEquipamentoAntena;GanhoAntena;FrenteCostaAntena;AnguloMeiaPotenciaAntena;AnguloElevacao;Polarizacao;AlturaAntena;CodEquipamentoTransmissor;PotenciaTransmissorWatts;Latitude;Longitude;CodDebitoTFI;DataLicenciamento;DataPrimeiroLicenciamento;NumRede;_id;DataValidade;NumFistelAssociado;NomeEntidadeAssociado
LIC-LIC-01;TELEFONICA BRASIL S.A.;50409146285;10;16972008;422418080;RUA DOM PEDRO II;;MG;3106705;5M00G7W;WCDMA;;;2160;1970;255;FB;Greenfield;NA;760;56001603518;16.1;25;74;17.7;X;40;39201301882;88.1;-20.02694;-44.23861;G;2021-09-13;2021-09-13;;4d5c019f8d515;2023-04-30;;
LIC-LIC-01;TELEFONICA BRASIL S.A.;50409146285;10;679892007;422418080;RUA DOM PEDRO II;;MG;3106705;5M00G7W;WCDMA;;;874.5;829.5;135;FB;Greenfield;NA;760;56001603518;16.1;25;74;17.7;X;40;81201882;84.5;-20.02694;-44.23861;G;2021-09-13;2021-09-13;;4d5c019f8d516;2023-04-29;;
LIC-LIC-01;TELEFONICA BRASIL S.A.;50409146285;10;679892007;422418080;RUA DOM PEDRO II;;MG;3106705;5M00G7W;WCDMA;;;874.5;829.5;255;FB;Greenfield;NA;760;56001603518;16.1;25;74;17.7;X;40;81201882;84.5;-20.02694;-44.23861;G;2021-09-13;2021-09-13;;4d5c019f8d517;2023-04-29;;
LIC-LIC-01;TELEFONICA BRASIL S.A.;50409146285;10;16972008;422418080;RUA DOM PEDRO II;;MG;3106705;5M00G7W;WCDMA;;;2160;1970;135;FB;Greenfield;NA;760;56001603518;16.1;25;74;17.7;X;40;39201301882;88.1;-20.02694;-44.23861;G;2021-09-13;2021-09-13;;4d5c019f8d51e;2023-04-30;;
LIC-LIC-01;TELEFONICA BRASIL S.A.;50409146285;10;16972008;422418080;RUA DOM PEDRO II;;MG;3106705;5M00G7W;WCDMA;;;2160;1970;35;FB;Greenfield;NA;760;56001603518;16.1;25;74;17.7;X;40;39201301882;88.1;-20.02694;-44.23861;G;2021-09-13;2021-09-13;;4d5c019f8d51f;2023-04-30;;
LIC-LIC-01;TELEFONICA BRASIL S.A.;50409146285;10;679892007;422418080;RUA DOM PEDRO II;;MG;3106705;5M00G7W;WCDMA;;;874.5;829.5;35;FB;Greenfield;NA;760;56001603518;16.1;25;74;17.7;X;40;81201882;84.5;-20.02694;-44.23861;G;2021-09-13;2021-09-13;;4d5c019f8d521;2023-04-29;;
LIC-LIC-01;TELEFONICA BRASIL S.A.;50409146285;10;679892007;422418080;RUA DOM PEDRO II;;MG;3106705;5M00G7W;WCDMA;;;874.5;829.5;255;FB;Greenfield;NA;760;56001603518;16.1;25;74;17.7;X;40;81201882;84.5;-20.02694;-44.23861;G;2021-09-13;2021-09-13;;4d5c019f8d522;2023-04-29;;
LIC-LIC-01;TELEFONICA BRASIL S.A.;50409146285;10;679892007;422418080;RUA DOM PEDRO II;;MG;3106705;5M00G7W;WCDMA;;;874.5;829.5;35;FB;Greenfield;NA;760;56001603518;16.1;25;74;17.7;X;40;81201882;84.5;-20.02694;-44.23861;G;2021-09-13;2021-09-13;;4d5c019f8d52b;2023-04-29;;
LIC-LIC-01;TELEFONICA BRASIL S.A.;50409146285;10;679892007;422418080;RUA DOM PEDRO II;;MG;3106705;5M00G7W;WCDMA;;;874.5;829.5;135;FB;Greenfield;NA;760;56001603518;16.1;25;74;17.7;X;40;81201882;84.5;-20.02694;-44.23861;G;2021-09-13;2021-09-13;;4d5c019f8d52c;2023-04-29;;
LIC-LIC-01;CLARO S.A.;50409307637;10;16952008;687366500;R CRAVINAS;;MG;3106705;5M00G7W;WCDMA;;;2117.5;1927.5;20;FB;Greenfield;NA;760;21221203701;12.99;28;69.71;0;x;30;13911303257;81.85;-19.9469;-44.1706;G;2022-12-28;2005-09-12;;4d5c01a07df4f;2023-04-30;;
LIC-LIC-01;CLARO S.A.;50409307637;10;16952008;687366500;R CRAVINAS;;MG;3106705;5M00G7W;WCDMA;;;2117.5;1927.5;140;FB;Greenfield;NA;760;21221203701;12.99;28;69.71;0;x;30;13911303257;81.85;-19.9469;-44.1706;G;2022-12-28;2005-09-12;;4d5c01a07df50;2023-04-30;;
LIC-LIC-01;CLARO S.A.;50409307637;10;16952008;687366500;R CRAVINAS;;MG;3106705;5M00G7W;WCDMA;;;2117.5;1927.5;260;FB;Greenfield;NA;760;21221203701;12.99;28;69.71;0;x;30;13911303257;81.85;-19.9469;-44.1706;G;2022-12-28;2005-09-12;;4d5c01a07df51;2023-04-30;;
LIC-LIC-01;CLARO S.A.;50409307637;10;19592020;687366500;R CRAVINAS;;MG;3106705;200KG7W;GSM;;;1842.5;1747.5;20;FB;Greenfield;NA;760;24731703257;13.86;25;68.89;0;x;30;23491603257;40;-19.9469;-44.1706;G;2022-12-28;2005-09-12;;4d5c01a07df52;2023-04-30;;
LIC-LIC-01;CLARO S.A.;50409307637;10;35332011;687366500;R CRAVINAS;;MG;3106705;200KG7W;GSM;;;1862.5;1767.5;20;FB;Greenfield;NA;760;24731703257;13.86;25;68.89;0;x;30;23491603257;40;-19.9469;-44.1706;G;2022-12-28;2005-09-12;;4d5c01a07df53;2023-04-30;;
LIC-LIC-01;CLARO S.A.;50409307637;10;19592020;687366500;R CRAVINAS;;MG;3106705;200KG7W;GSM;;;1842.5;1747.5;140;FB;Greenfield;NA;760;24731703257;13.86;25;68.89;0;x;30;23491603257;40;-19.9469;-44.1706;G;2022-12-28;2005-09-12;;4d5c01a07df54;2023-04-30;;
LIC-LIC-01;CLARO S.A.;50409307637;10;16952008;687366500;R CRAVINAS;;MG;3106705;5M00G7W;WCDMA;;;2117.5;1927.5;20;FB;Greenfield;NA;760;21221203701;12.99;28;69.71;0;x;30;13911303257;81.85;-19.9469;-44.1706;G;2022-12-28;2005-09-12;;4d5c01a07df55;2023-04-30;;
LIC-LIC-01;CLARO S.A.;50409307637;10;16952008;687366500;R CRAVINAS;;MG;3106705;5M00G7W;WCDMA;;;2117.5;1927.5;140;FB;Greenfield;NA;760;21221203701;12.99;28;69.71;0;x;30;13911303257;81.85;-19.9469;-44.1706;G;2022-12-28;2005-09-12;;4d5c01a07df56;2023-04-30;;
