Status.state;NomeEntidade;NumFistel;NumServico;NumAto;NumEstacao;EnderecoEstacao;EndComplemento;SiglaUf;CodMunicipio;DesignacaoEmissao;Tecnologia;tipoTecnologia;meioAcesso;FreqTxMHz;FreqRxMHz;Azimute;CodTipoClasseEstacao;ClassInfraFisica;CompartilhamentoInfraFisica;CodTipoAntena;CodEquipamentoAntena;GanhoAntena;FrenteCostaAntena;AnguloMeiaPotenciaAntena;AnguloElevacao;Polarizacao;AlturaAntena;CodEquipamentoTransmissor;PotenciaTransmissorWatts;Latitude;Longitude;CodDebitoTFI;DataLicenciamento;DataPrimeiroLicenciamento;NumRede;_id;DataValidade;NumFistelAssociado;NomeEntidadeAssociado
LIC-LIC-01;TELEFONICA BRASIL S.A.;50409146366;10;71862008;82910;RUA RUI BARBOSA, 3040;;MS;5002704;5M00G9W;WCDMA;;;874.5;829.5;100;FB;;NA;760;56001603518;14.1;25;63;1;X;44.6;19980701882;45;-20.458056;-54.614833;G;2023-01-04;2000-08-28;;4d5c019f58db8;2024-07-21;;
LIC-LIC-01;TELEFONICA BRASIL S.A.;50409146366;10;71862008;82910;RUA RUI BARBOSA, 3040;;MS;5002704;200KG7W;GSM;;;874.5;829.5;100;FB;;NA;760;56001603518;14.1;25;63;1;X;44.6;910502519;32.5;-20.458056;-54.614833;G;2023-01-04;2000-08-28;;4d5c019f58dbe;2024-07-21;;
LIC-LIC-01;TELEFONICA BRASIL S.A.;50409146366;10;71862008;82910;RUA RUI BARBOSA, 3040;;MS;5002704;200KG7W;GSM;;;874.5;829.5;190;FB;;NA;760;56001603518;14.1;25;63;1;X;44.6;910502519;32.5;-20.458056;-54.614833;G;2023-01-04;2000-08-28;;4d5c019f58dbf;2024-07-21;;
LIC-LIC-01;TELEFONICA BRASIL S.A.;50409146366;10;71862008;82910;RUA RUI BARBOSA, 3040;;MS;5002704;5M00G9W;WCDMA;;;874.5;829.5;190;FB;;NA;760;56001603518;14.1;25;63;1;X;44.6;19980701882;45;-20.458056;-54.614833;G;2023-01-04;2000-08-28;;4d5c019f58dc0;2024-07-21;;
LIC-LIC-01;TELEFONICA BRASIL S.A.;50409146366;10;71862008;82910;RUA RUI BARBOSA, 3040;;MS;5002704;200KG7W;GSM;;;874.5;829.5;300;FB;;NA;760;56001603518;14.1;25;63;0;X;44.6;910502519;32.5;-20.458056;-54.614833;G;2023-01-04;2000-08-28;;4d5c019f58dc4;2024-07-21;;
LIC-LIC-01;TELEFONICA BRASIL S.A.;50409146366;10;71862008;82910;RUA RUI BARBOSA, 3040;;MS;5002704;5M00G9W;WCDMA;;;874.5;829.5;300;FB;;NA;760;56001603518;14.1;25;63;0;X;44.6;19980701882;45;-20.458056;-54.614833;G;2023-01-04;2000-08-28;;4d5c019f58dc5;2024-07-21;;
LIC-LIC-01;TELEFONICA BRASIL S.A.;50409146366;10;71862008;281670;RUA JACIRA - QUADRA C LOTE 64 - N 655;;MS;5002308;200KG7W;GSM;;;874.5;829.5;20;FB;;NA;760;7690501705;14.3;26;82;2;X;54;910502519;32.5;-21.254944;-52.034611;G;2022-12-12;1999-07-23;;4d5c019f5920b;2024-09-28;;
LIC-LIC-01;TELEFONICA BRASIL S.A.;50409146366;10;71862008;281670;RUA JACIRA - QUADRA C LOTE 64 - N 655;;MS;5002308;200KG7W;GSM;;;874.5;829.5;160;FB;;NA;760;7690501705;14.3;26;82;1;X;54;910502519;32.5;-21.254944;-52.034611;G;2022-12-12;1999-07-23;;4d5c019f59210;2024-09-28;;
LIC-LIC-01;TELEFONICA BRASIL S.A.;50409146366;10;71862008;281670;RUA JACIRA - QUADRA C LOTE 64 - N 655;;MS;5002308;200KG7W;GSM;;;874.5;829.5;280;FB;;NA;760;7690501705;14.3;26;82;3;X;54;910502519;32.5;-21.254944;-52.034611;G;2022-12-12;1999-07-23;;4d5c019f59211;2024-09-28;;
LIC-LIC-01;TELEFONICA BRASIL S.A.;50409146366;10;71862008;1188500;RUA ATALIBA RAMOS, 1378;;MS;5002001;200KG7W;GSM;;;874.5;829.5;30;FB;;NA;760;7690501705;14.3;26;82;0;X;44;910502519;32.5;-22.296953;-53.269931;G;2022-12-12;1999-08-24;;4d5c019f5b26e;2024-09-28;;
LIC-LIC-01;TELEFONICA BRASIL S.A.;50409146366;10;71862008;1188500;RUA ATALIBA RAMOS, 1378;;MS;5002001;5M00G9W;WCDMA;;;874.5;829.5;30;FB;;NA;760;;14.1;22;69;0;X;44;19980701882;45;-22.296953;-53.269931;G;2022-12-12;1999-08-24;;4d5c019f5b270;2024-09-28;;
LIC-LIC-01;TELEFONICA BRASIL S.A.;50409146366;10;71862008;1188500;RUA ATALIBA RAMOS, 1378;;MS;5002001;200KG7W;GSM;;;874.5;829.5;160;FB;;NA;760;7690501705;14.3;26;82;0;X;44;910502519;32.5;-22.296953;-53.269931;G;2022-12-12;1999-08-24;;4d5c019f5b279;2024-09-28;;
LIC-LIC-01;TELEFONICA BRASIL S.A.;50409146366;10;71862008;1188500;RUA ATALIBA RAMOS, 1378;;MS;5002001;200KG7W;GSM;;;874.5;829.5;270;FB;;NA;760;7690501705;14.3;26;82;0;X;44;910502519;32.5;-22.296953;-53.269931;G;2022-12-12;1999-08-24;;4d5c019f5b27a;2024-09-28;;
LIC-LIC-01;TELEFONICA BRASIL S.A.;50409146366;10;71862008;1188500;RUA ATALIBA RAMOS, 1378;;MS;5002001;5M00G9W;WCDMA;;;874.5;829.5;160;FB;;NA;760;;14.1;22;69;0;X;44;19980701882;45;-22.296953;-53.269931;G;2022-12-12;1999-08-24;;4d5c019f5b27b;2024-09-28;;
LIC-LIC-01;TELEFONICA BRASIL S.A.;50409146366;10;71862008;1188500;RUA ATALIBA RAMOS, 1378;;MS;5002001;5M00G9W;WCDMA;;;874.5;829.5;270;FB;;NA;760;;14.1;22;69;0;X;44;19980701882;45;-22.296953;-53.269931;G;2022-12-12;1999-08-24;;4d5c019f5b282;2024-09-28;;
LIC-LIC-01;TELEFONICA BRASIL S.A.;50409146366;10;71862008;1207105;RUA AYRES FRANCISCO DE LIMA, 388;;MS;5006002;200KG7W;GSM;;;874.5;829.5;360;FB;;NA;760;5152003257;14;21;66;3;X;77;910502519;32.5;-21.46385;-54.378444;G;2022-12-12;1999-08-24;;4d5c019f5b2b3;2024-09-28;;
LIC-LIC-01;TELEFONICA BRASIL S.A.;50409146366;10;71862008;1207105;RUA AYRES FRANCISCO DE LIMA, 388;;MS;5006002;200KG7W;GSM;;;874.5;829.5;150;FB;;NA;760;5152003257;14;21;66;3;X;77;910502519;32.5;-21.46385;-54.378444;G;2022-12-12;1999-08-24;;4d5c019f5b2b4;2024-09-28;;
LIC-LIC-01;TELEFONICA BRASIL S.A.;50409146366;10;71862008;1207105;RUA AYRES FRANCISCO DE LIMA, 388;;MS;5006002;5M00G7W;WCDMA;;;874.5;829.5;360;FB;;NA;760;5152003257;14;21;66;3;X;77;39721705894;40;-21.46385;-54.378444;G;2022-12-12;1999-08-24;;4d5c019f5b2b5;2024-09-28;;
LIC-LIC-01;TELEFONICA BRASIL S.A.;50409146366;10;35312011;1207105;RUA AYRES FRANCISCO DE LIMA, 388;;MS;5006002;200KG7W;GSM;;;1855;1760;360;FB;;NA;760;5152003257;16.7;24;68;3;X;77;6030301882;35.3;-21.46385;-54.378444;G;2022-12-12;1999-08-24;;4d5c019f5b2b9;2024-09-28;;
LIC-LIC-01;TELEFONICA BRASIL S.A.;50409146366;10;35312011;1207105;RUA AYRES FRANCISCO DE LIMA, 388;;MS;5006002;200KG7W;GSM;;;1855;1760;150;FB;;NA;760;5152003257;16.7;24;68;3;X;77;6030301882;35.3;-21.46385;-54.378444;G;2022-12-12;1999-08-24;;4d5c019f5b2ba;2024-09-28;;
LIC-LIC-01;TELEFONICA BRASIL S.A.;50409146366;10;35312011;1207105;RUA AYRES FRANCISCO DE LIMA, 388;;MS;5006002;200KG7W;GSM;;;1855;1760;300;FB;;NA;760;5152003257;16.7;24;68;3;X;77;6030301882;35.3;-21.46385;-54.378444;G;2022-12-12;1999-08-24;;4d5c019f5b2bb;2024-09-28;;
LIC-LIC-01;TELEFONICA BRASIL S.A.;50409146366;10;71862008;1207105;RUA AYRES FRANCISCO DE LIMA, 388;;MS;5006002;5M00G7W;WCDMA;;;874.5;829.5;150;FB;;NA;760;5152003257;14;21;66;3;X;77;39721705894;40;-21.46385;-54.378444;G;2022-12-12;1999-08-24;;4d5c019f5b2bd;2024-09-28;;
LIC-LIC-01;TELEFONICA BRASIL S.A.;50409146366;10;71862008;1207105;RUA AYRES FRANCISCO DE LIMA, 388;;MS;5006002;200KG7W;GSM;;;874.5;829.5;300;FB;;NA;760;5152003257;14;21;66;3;X;77;910502519;32.5;-21.46385;-54.378444;G;2022-12-12;1999-08-24;;4d5c019f5b2c3;2024-09-28;;
LIC-LIC-01;TELEFONICA BRASIL S.A.;50409146366;10;71862008;1207105;RUA AYRES FRANCISCO DE LIMA, 388;;MS;5006002;5M00G7W;WCDMA;;;874.5;829.5;300;FB;;NA;760;5152003257;14;21;66;3;X;77;39721705894;40;-21.46385;-54.378444;G;2022-12-12;1999-08-24;;4d5c019f5b2c8;2024-09-28;;
LIC-LIC-01;TELEFONICA BRASIL S.A.;50409146366;10;71862008;1207113;RUA SANTA ROSA, QUADRA 25, LOTE 13;;MS;5004007;200KG7W;GSM;;;874.5;829.5;85;FB;;NA;760;5152003257;14;21;66;1;X;68;910502519;32.5;-22.415867;-54.231842;G;2023-02-24;1999-08-24;;4d5c019f5b2cf;2024-09-28;;
LIC-LIC-01;TELEFONICA BRASIL S.A.;50409146366;10;71862008;1207113;RUA SANTA ROSA, QUADRA 25, LOTE 13;;MS;5004007;200KG7W;GSM;;;874.5;829.5;170;FB;;NA;760;5152003257;14;21;66;1;X;68;910502519;32.5;-22.415867;-54.231842;G;2023-02-24;1999-08-24;;4d5c019f5b2d0;2024-09-28;;
LIC-LIC-01;TELEFONICA BRASIL S.A.;50409146366;10;71862008;1207113;RUA SANTA ROSA, QUADRA 25, LOTE 13;;MS;5004007;5M00G9W;WCDMA;;;874.5;829.5;85;FB;;NA;760;4170801705;13.1;20;85;1;X;68;19980701882;40;-22.415867;-54.231842;G;2023-02-24;1999-08-24;;4d5c019f5b2d2;2024-09-28;;
LIC-LIC-01;TELEFONICA BRASIL S.A.;50409146366;10;71862008;1207113;RUA SANTA ROSA, QUADRA 25, LOTE 13;;MS;5004007;5M00G9W;WCDMA;;;874.5;829.5;170;FB;;NA;760;4170801705;13.1;20;85;1;X;68;19980701882;40;-22.415867;-54.231842;G;2023-02-24;1999-08-24;;4d5c019f5b2da;2024-09-28;;
LIC-LIC-01;TELEFONICA BRASIL S.A.;50409146366;10;71862008;1207113;RUA SANTA ROSA, QUADRA 25, LOTE 13;;MS;5004007;5M00G9W;WCDMA;;;874.5;829.5;310;FB;;NA;760;4170801705;13.1;20;85;1;X;68;19980701882;40;-22.415867;-54.231842;G;2023-02-24;1999-08-24;;4d5c019f5b2db;2024-09-28;;
LIC-LIC-01;TELEFONICA BRASIL S.A.;50409146366;10;71862008;1207113;RUA SANTA ROSA, QUADRA 25, LOTE 13;;MS;5004007;200KG7W;GSM;;;874.5;829.5;310;FB;;NA;760;5152003257;14;21;66;1;X;68;910502519;32.5;-22.415867;-54.231842;G;2023-02-24;1999-08-24;;4d5c019f5b2df;2024-09-28;;
LIC-LIC-01;TELEFONICA BRASIL S.A.;50409146366;10;71862008;1306880;RUA VIRGILIO A. QUEIROZ, 1330;;MS;5001003;200KG7W;GSM;;;874.5;829.5;360;FB;;NA;760;56001603518;14.1;25;63;0;X;50;910502519;32.5;-20.086619;-51.100597;G;2022-12-12;2003-08-25;;4d5c019f5bce4;2024-09-28;;
LIC-LIC-01;TELEFONICA BRASIL S.A.;50409146366;10;71862008;1306880;RUA VIRGILIO A. QUEIROZ, 1330;;MS;5001003;200KG7W;GSM;;;874.5;829.5;120;FB;;NA;760;56001603518;14.1;25;63;2;X;50;910502519;32.5;-20.086619;-51.100597;G;2022-12-12;2003-08-25;;4d5c019f5bce5;2024-09-28;;
