Status.state;NomeEntidade;NumFistel;NumServico;NumAto;NumEstacao;EnderecoEstacao;EndComplemento;SiglaUf;CodMunicipio;DesignacaoEmissao;Tecnologia;tipoTecnologia;meioAcesso;FreqTxMHz;FreqRxMHz;Azimute;CodTipoClasseEstacao;ClassInfraFisica;CompartilhamentoInfraFisica;CodTipoAntena;CodEquipamentoAntena;GanhoAntena;FrenteCostaAntena;AnguloMeiaPotenciaAntena;AnguloElevacao;Polarizacao;AlturaAntena;CodEquipamentoTransmissor;PotenciaTransmissorWatts;Latitude;Longitude;CodDebitoTFI;DataLicenciamento;DataPrimeiroLicenciamento;NumRede;_id;DataValidade;NumFistelAssociado;NomeEntidadeAssociado
LIC-LIC-01;CLARO S.A.;50409307637;10;16952008;3758354;R ALDEMAR MENDES;;PI;2202208;5M00D9W;WCDMA;;;2117.5;1927.5;240;FB;;NA;760;4620601705;16.2;28;55;0;X;50;11060703257;49.1;-4.82833;-42.16917;G;2022-01-19;1999-11-10;;4d5c019f6434c;2027-08-25;;
LIC-LIC-01;CLARO S.A.;50409307637;10;16952008;3758354;R ALDEMAR MENDES;;PI;2202208;5M00D7W;WCDMA;;;2117.5;1927.5;0;FB;;NA;760;4620601705;16.2;28;55;0;X;50;13911303257;81.8;-4.82833;-42.16917;G;2022-01-19;1999-11-10;;4d5c019f64354;2027-08-25;;
LIC-LIC-01;CLARO S.A.;50409307637;10;16952008;3758354;R ALDEMAR MENDES;;PI;2202208;5M00D7W;WCDMA;;;2117.5;1927.5;0;FB;;NA;760;35731503257;14.8;28;35.45;0;X;64;13911303257;81.8;-4.82833;-42.16917;G;2022-01-19;1999-11-10;;4d5c019f64356;2027-08-25;;
LIC-LIC-01;CLARO S.A.;50409307637;10;16952008;3758354;R ALDEMAR MENDES;;PI;2202208;5M00D7W;WCDMA;;;2117.5;1927.5;120;FB;;NA;760;35731503257;14.8;28;35.45;0;X;64;13911303257;81.8;-4.82833;-42.16917;G;2022-01-19;1999-11-10;;4d5c019f64357;2027-08-25;;
LIC-LIC-01;CLARO S.A.;50409307637;10;29312016;3758354;R ALDEMAR MENDES;;PI;2202208;10M0G7W;LTE;;;2625;2505;120;FB;;NA;760;4620601705;16.2;28;55;0;X;50;18141603257;40;-4.82833;-42.16917;G;2022-01-19;1999-11-10;;4d5c019f6435e;2031-08-29;;
LIC-LIC-01;CLARO S.A.;50409307637;10;29312016;3758354;R ALDEMAR MENDES;;PI;2202208;10M0G7W;LTE;;;2625;2505;120;FB;;NA;760;21221203701;13.8;28;71.92;0;X;64;18141603257;40;-4.82833;-42.16917;G;2022-01-19;1999-11-10;;4d5c019f6435f;2031-08-29;;
LIC-LIC-01;CLARO S.A.;50409307637;10;29312016;3758354;R ALDEMAR MENDES;;PI;2202208;10M0G7W;LTE;;;2625;2505;240;FB;;NA;760;21221203701;13.8;28;71.92;0;X;64;18141603257;40;-4.82833;-42.16917;G;2022-01-19;1999-11-10;;4d5c019f64361;2031-08-29;;
LIC-LIC-01;CLARO S.A.;50409307637;10;50502011;3758354;R ALDEMAR MENDES;;PI;2202208;5M00G7W;WCDMA;;;885;840;240;FB;;NA;760;4620601705;16.2;28;55;0;X;50;4731003257;66.2;-4.82833;-42.16917;G;2022-01-19;1999-11-10;;4d5c019f64369;2027-08-25;;
LIC-LIC-01;CLARO S.A.;50409307637;10;50502011;3758354;R ALDEMAR MENDES;;PI;2202208;200KG7W;GSM;;;944.75;899.75;0;FB;;NA;760;14990301933;12.5;36;90;1;X;71;790401592;40;-4.82833;-42.16917;G;2022-01-19;1999-11-10;;4d5c019f64396;2027-08-25;;
LIC-LIC-01;CLARO S.A.;50409307637;10;50502011;3758354;R ALDEMAR MENDES;;PI;2202208;200KG7W;GSM;;;944.75;899.75;120;FB;;NA;760;14990301933;12.5;36;90;1;X;64;790401592;40;-4.82833;-42.16917;G;2022-01-19;1999-11-10;;4d5c019f64399;2027-08-25;;
LIC-LIC-01;CLARO S.A.;50409307637;10;50502011;3758354;R ALDEMAR MENDES;;PI;2202208;200KG7W;GSM;;;944.75;899.75;120;FB;;NA;760;22821203701;13.2;28;67.29;0;X;67;790401592;40;-4.82833;-42.16917;G;2022-01-19;1999-11-10;;4d5c019f6439b;2027-08-25;;
LIC-LIC-01;CLARO S.A.;50409307637;10;50502011;3758354;R ALDEMAR MENDES;;PI;2202208;200KG7W;GSM;;;1875;1780;120;FB;;NA;760;22821203701;16.2;30;67.41;0;X;67;130401592;40;-4.82833;-42.16917;G;2022-01-19;1999-11-10;;4d5c019f643a1;2027-08-25;;
LIC-LIC-01;CLARO S.A.;50409307637;10;50502011;3758354;R ALDEMAR MENDES;;PI;2202208;200KG7W;GSM;;;1875;1780;240;FB;;NA;760;19570905344;15.4;32;77.6;0;X;64;130401592;40;-4.82833;-42.16917;G;2022-01-19;1999-11-10;;4d5c019f643a3;2027-08-25;;
LIC-LIC-01;CLARO S.A.;50409307637;10;50502011;3758354;R ALDEMAR MENDES;;PI;2202208;200KG7W;GSM;;;1875;1780;240;FB;;NA;760;22821203701;16.2;30;67.41;0;X;67;130401592;40;-4.82833;-42.16917;G;2022-01-19;1999-11-10;;4d5c019f643a5;2027-08-25;;
LIC-LIC-01;CLARO S.A.;50409307637;10;59592012;3758354;R ALDEMAR MENDES;;PI;2202208;20M0G7W;LTE;;;2640;2520;120;FB;;NA;760;430301705;14;25;90;0;X;60;18141603257;40;-4.82833;-42.16917;G;2022-01-19;1999-11-10;;4d5c019f643bf;2027-10-18;;
LIC-LIC-01;CLARO S.A.;50409307637;10;59592012;3758354;R ALDEMAR MENDES;;PI;2202208;20M0G7W;LTE;;;2640;2520;240;FB;;NA;760;21221203701;13.8;28;71.92;0;X;64;18141603257;40;-4.82833;-42.16917;G;2022-01-19;1999-11-10;;4d5c019f643c3;2027-10-18;;
