Status.state;NomeEntidade;NumFistel;NumServico;NumAto;NumEstacao;EnderecoEstacao;EndComplemento;SiglaUf;CodMunicipio;DesignacaoEmissao;Tecnologia;tipoTecnologia;meioAcesso;FreqTxMHz;FreqRxMHz;Azimute;CodTipoClasseEstacao;ClassInfraFisica;CompartilhamentoInfraFisica;CodTipoAntena;CodEquipamentoAntena;GanhoAntena;FrenteCostaAntena;AnguloMeiaPotenciaAntena;AnguloElevacao;Polarizacao;AlturaAntena;CodEquipamentoTransmissor;PotenciaTransmissorWatts;Latitude;Longitude;CodDebitoTFI;DataLicenciamento;DataPrimeiroLicenciamento;NumRede;_id;DataValidade;NumFistelAssociado;NomeEntidadeAssociado
LIC-LIC-01;TIM S/A;50409428698;10;73902008;807842;Area Litoral Sul;Km 34 Praia Barra De Tabatinga;RN;2408201;5M00G9W;WCDMA;;;874.5;829.5;150;FB;Greenfield;sim;760;64101600762;13.42;28;65.2;0;X;69;32341303903;40;-6045;-35.1125;G;2021-11-18;2001-03-05;;4d5c019f5a698;2023-12-31;;
LIC-LIC-01;TIM S/A;50409428698;10;73902008;807842;Area Litoral Sul;Km 34 Praia Barra De Tabatinga;RN;2408201;5M00G9W;WCDMA;;;874.5;829.5;0;FB;Greenfield;sim;760;64101600762;13.42;28;65.2;0;X;69;32341303903;40;-6045;-35.1125;G;2021-11-18;2001-03-05;;4d5c019f5a69f;2023-12-31;;
LIC-LIC-01;TIM S/A;50409428698;10;73902008;907804;PRAIA DE CARAUBAS,S/N,RURAL;;RN;2407500;200KG7W;GSM;;;1827.5;1825;330.0;FB;;NA;540;13330301705;18.0;40.0;65.00;6.00;V;72.0;130401592;40000;-5.46056;-35.29194;G;2016-12-21;2000-11-16;;4d5c019f5a99e;2023-12-31;;
LIC-LIC-01;TIM S/A;50409428698;10;73902008;907804;PRAIA DE CARAUBAS,S/N,RURAL;;RN;2407500;200KG7W;GSM;;;1830;1827.5;230.0;FB;;NA;396;13320701705;11.8;23.0;65.00;7.00;X;72.0;130401592;40000;-5.46056;-35.29194;G;2016-12-21;2000-11-16;;4d5c019f5a99f;2023-12-31;;
LIC-LIC-01;TIM S/A;50409428698;10;73902008;907804;PRAIA DE CARAUBAS,S/N,RURAL;;RN;2407500;5M00G9W;WCDMA;;;880;869;230.0;FB;;NA;396;12720905344;13.5;20.0;68.00;15.00;X;72.0;9990703903;40000;-5.46056;-35.29194;G;2016-12-21;2000-11-16;;4d5c019f5a9a0;2023-12-31;;
LIC-LIC-01;TIM S/A;50409428698;10;73902008;907804;PRAIA DE CARAUBAS,S/N,RURAL;;RN;2407500;200KG7W;GSM;;;1832.5;1830;165.0;FB;;NA;540;13330301705;18.0;40.0;65.00;6.00;V;62.0;130401592;40000;-5.46056;-35.29194;G;2016-12-21;2000-11-16;;4d5c019f5a9a1;2023-12-31;;
LIC-LIC-01;TIM S/A;50409428698;10;73902008;907804;PRAIA DE CARAUBAS,S/N,RURAL;;RN;2407500;200KG7W;GSM;;;1832.5;1830;230.0;FB;;NA;396;13320701705;11.8;23.0;65.00;7.00;X;72.0;130401592;40000;-5.46056;-35.29194;G;2016-12-21;2000-11-16;;4d5c019f5a9a2;2023-12-31;;
LIC-LIC-01;TIM S/A;50409428698;10;73902008;907804;PRAIA DE CARAUBAS,S/N,RURAL;;RN;2407500;200KG7W;GSM;;;1835;1832.5;165.0;FB;;NA;540;13330301705;18.0;40.0;65.00;6.00;V;62.0;130401592;40000;-5.46056;-35.29194;G;2016-12-21;2000-11-16;;4d5c019f5a9a3;2023-12-31;;
LIC-LIC-01;TIM S/A;50409428698;10;73902008;907804;PRAIA DE CARAUBAS,S/N,RURAL;;RN;2407500;200KG7W;GSM;;;1835;1832.5;230.0;FB;;NA;396;13320701705;11.8;23.0;65.00;7.00;X;72.0;130401592;40000;-5.46056;-35.29194;G;2016-12-21;2000-11-16;;4d5c019f5a9a4;2023-12-31;;
LIC-LIC-01;TIM S/A;50409428698;10;73902008;907804;PRAIA DE CARAUBAS,S/N,RURAL;;RN;2407500;5M00G9W;WCDMA;;;880;869;330.0;FB;;NA;396;12720905344;13.5;20.0;68.00;15.00;X;72.0;9990703903;40000;-5.46056;-35.29194;G;2016-12-21;2000-11-16;;4d5c019f5a9a5;2023-12-31;;
