Status.state;NomeEntidade;NumFistel;NumServico;NumAto;NumEstacao;EnderecoEstacao;EndComplemento;SiglaUf;CodMunicipio;DesignacaoEmissao;Tecnologia;tipoTecnologia;meioAcesso;FreqTxMHz;FreqRxMHz;Azimute;CodTipoClasseEstacao;ClassInfraFisica;CompartilhamentoInfraFisica;CodTipoAntena;CodEquipamentoAntena;GanhoAntena;FrenteCostaAntena;AnguloMeiaPotenciaAntena;AnguloElevacao;Polarizacao;AlturaAntena;CodEquipamentoTransmissor;PotenciaTransmissorWatts;Latitude;Longitude;CodDebitoTFI;DataLicenciamento;DataPrimeiroLicenciamento;NumRede;_id;DataValidade;NumFistelAssociado;NomeEntidadeAssociado
LIC-LIC-01;TELEFONICA BRASIL S.A.;50409146366;10;71822008;29874;AV. RIO MADEIRA, 1022;;RO;1100205;200KG7W;GSM;;;874.5;829.5;90;FB;;NA;760;7690501705;14.3;26;82;0;X;46;910502519;32.5;-8.758906;-63.875331;G;2023-01-04;2000-08-02;;4d5c019f58c03;2024-07-21;;
LIC-LIC-01;TELEFONICA BRASIL S.A.;50409146366;10;71822008;29874;AV. RIO MADEIRA, 1022;;RO;1100205;5M00G9W;WCDMA;;;874.5;829.5;90;FB;;NA;760;26960904280;13.9;28;71;0;X;46;19980701882;45;-8.758906;-63.875331;G;2023-01-04;2000-08-02;;4d5c019f58c04;2024-07-21;;
LIC-LIC-01;TELEFONICA BRASIL S.A.;50409146366;10;71822008;29874;AV. RIO MADEIRA, 1022;;RO;1100205;5M00G9W;WCDMA;;;874.5;829.5;200;FB;;NA;760;26960904280;13.9;28;71;0;X;46;19980701882;45;-8.758906;-63.875331;G;2023-01-04;2000-08-02;;4d5c019f58c05;2024-07-21;;
LIC-LIC-01;TELEFONICA BRASIL S.A.;50409146366;10;71822008;29874;AV. RIO MADEIRA, 1022;;RO;1100205;200KG7W;GSM;;;874.5;829.5;200;FB;;NA;760;7690501705;14.3;26;82;0;X;46;910502519;32.5;-8.758906;-63.875331;G;2023-01-04;2000-08-02;;4d5c019f58c0e;2024-07-21;;
LIC-LIC-01;TELEFONICA BRASIL S.A.;50409146366;10;71822008;29874;AV. RIO MADEIRA, 1022;;RO;1100205;5M00G9W;WCDMA;;;874.5;829.5;340;FB;;NA;760;26960904280;13.9;28;71;0;X;46;19980701882;45;-8.758906;-63.875331;G;2023-01-04;2000-08-02;;4d5c019f58c0f;2024-07-21;;
LIC-LIC-01;TELEFONICA BRASIL S.A.;50409146366;10;71822008;29874;AV. RIO MADEIRA, 1022;;RO;1100205;200KG7W;GSM;;;874.5;829.5;340;FB;;NA;760;7690501705;14.3;26;82;0;X;46;910502519;32.5;-8.758906;-63.875331;G;2023-01-04;2000-08-02;;4d5c019f58c15;2024-07-21;;
LIC-LIC-01;TELEFONICA BRASIL S.A.;50409146366;10;71822008;677604;BR 364, KM 22;;RO;1100809;200KG7W;GSM;;;874.5;829.5;350;FB;;NA;760;7690501705;14.3;26;82;1;X;60;910502519;32.5;-8.797108;-63.710183;G;2022-12-12;2003-03-24;;4d5c019f5a1e5;2024-09-28;;
LIC-LIC-01;TELEFONICA BRASIL S.A.;50409146366;10;71822008;677604;BR 364, KM 22;;RO;1100809;200KG7W;GSM;;;874.5;829.5;100;FB;;NA;760;7690501705;14.3;26;82;0;X;60;910502519;32.5;-8.797108;-63.710183;G;2022-12-12;2003-03-24;;4d5c019f5a1e6;2024-09-28;;
LIC-LIC-01;TELEFONICA BRASIL S.A.;50409146366;10;71822008;677604;BR 364, KM 22;;RO;1100809;5M00G9W;WCDMA;;;874.5;829.5;350;FB;;NA;760;4170801705;13.1;20;85;1;X;66;19980701882;45;-8.797108;-63.710183;G;2022-12-12;2003-03-24;;4d5c019f5a1e7;2024-09-28;;
LIC-LIC-01;TELEFONICA BRASIL S.A.;50409146366;10;71822008;677604;BR 364, KM 22;;RO;1100809;5M00G9W;WCDMA;;;874.5;829.5;100;FB;;NA;760;4170801705;13.1;20;85;0;X;66;19980701882;45;-8.797108;-63.710183;G;2022-12-12;2003-03-24;;4d5c019f5a1e8;2024-09-28;;
LIC-LIC-01;TELEFONICA BRASIL S.A.;50409146366;10;71822008;677604;BR 364, KM 22;;RO;1100809;5M00G9W;WCDMA;;;874.5;829.5;220;FB;;NA;760;4170801705;13.1;20;85;2;X;66;19980701882;45;-8.797108;-63.710183;G;2022-12-12;2003-03-24;;4d5c019f5a1ee;2024-09-28;;
LIC-LIC-01;TELEFONICA BRASIL S.A.;50409146366;10;71822008;677604;BR 364, KM 22;;RO;1100809;200KG7W;GSM;;;874.5;829.5;220;FB;;NA;760;7690501705;14.3;26;82;2;X;60;910502519;32.5;-8.797108;-63.710183;G;2022-12-12;2003-03-24;;4d5c019f5a1f7;2024-09-28;;
LIC-LIC-01;TELEFONICA BRASIL S.A.;50409146366;10;71822008;677639;AVENIDA VILAGRAN CABRITA, 171;-;RO;1100122;200KG7W;GSM;;;874.5;829.5;120;FB;;NA;760;5152003257;14;21;66;0;X;86;910502519;32.5;-10.880906;-61.945506;G;2022-07-19;2000-11-28;;4d5c019f5a1fd;2024-07-21;;
