Status.state,NomeEntidade,NumFistel,NumServico,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,tipoTecnologia,meioAcesso,FreqTxMHz,FreqRxMHz,Azimute,CodTipoClasseEstacao,ClassInfraFisica,CompartilhamentoInfraFisica,CodTipoAntena,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,Polarizacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,CodDebitoTFI,DataLicenciamento,DataPrimeiroLicenciamento,NumRede,_id,DataValidade,NumFistelAssociado,NomeEntidadeAssociado
LIC-LIC-01,TELEFONICA BRASIL S.A.,50409146285,010,17012008,659113937,"RODOVIA BR-174,S/N,MORRO",,RR,1400308,5M00G9W,WCDMA,,,2160,,110,FB,,NA,760,026960904280,16,27,65,2,X,80,016041001882,40,2.42222,-60.91917,G,2021-11-19,2002-04-03,,4d5c019fda7f4,2023-04-30,,
LIC-LIC-01,TELEFONICA BRASIL S.A.,50409146285,010,17012008,659113937,"RODOVIA BR-174,S/N,MORRO",,RR,1400308,5M00G9W,WCDMA,,,2160,,240,FB,,NA,760,026960904280,16,27,65,2,X,80,016041001882,40,2.42222,-60.91917,G,2021-11-19,2002-04-03,,4d5c019fda7f5,2023-04-30,,
LIC-LIC-01,TELEFONICA BRASIL S.A.,50409146285,010,35312011,659113937,"RODOVIA BR-174,S/N,MORRO",,RR,1400308,200KG7W,GSM,,,1831.25,,360,FB,,NA,760,026960904280,16,27,65,2,X,80,011691101882,74,2.42222,-60.91917,G,2021-11-19,2002-04-03,,4d5c019fda7f6,2023-04-30,,
LIC-LIC-01,TELEFONICA BRASIL S.A.,50409146285,010,35312011,659113937,"RODOVIA BR-174,S/N,MORRO",,RR,1400308,200KG7W,GSM,,,1862.5,,360,FB,,NA,760,026960904280,16.5,30,63,2,X,80,011691101882,74,2.42222,-60.91917,G,2021-11-19,2002-04-03,,4d5c019fda7f7,2023-04-30,,
LIC-LIC-01,TELEFONICA BRASIL S.A.,50409146285,010,35312011,659113937,"RODOVIA BR-174,S/N,MORRO",,RR,1400308,200KG7W,GSM,,,1862.5,,240,FB,,NA,760,026960904280,16,27,65,2,X,80,011691101882,74,2.42222,-60.91917,G,2021-11-19,2002-04-03,,4d5c019fda7f8,2023-04-30,,
LIC-LIC-01,TELEFONICA BRASIL S.A.,50409146285,010,35312011,659113937,"RODOVIA BR-174,S/N,MORRO",,RR,1400308,200KG7W,GSM,,,1862.5,,240,FB,,NA,760,026960904280,16.5,30,63,2,X,80,011691101882,74,2.42222,-60.91917,G,2021-11-19,2002-04-03,,4d5c019fda7f9,2023-04-30,,
LIC-LIC-01,TELEFONICA BRASIL S.A.,50409146285,010,35312011,659113937,"RODOVIA BR-174,S/N,MORRO",,RR,1400308,200KG7W,GSM,,,1867.5,,360,FB,,NA,760,026960904280,16,27,65,2,X,80,011691101882,74,2.42222,-60.91917,G,2021-11-19,2002-04-03,,4d5c019fda7fa,2023-04-30,,
LIC-LIC-01,TELEFONICA BRASIL S.A.,50409146285,010,35312011,659113937,"RODOVIA BR-174,S/N,MORRO",,RR,1400308,200KG7W,GSM,,,1867.5,,240,FB,,NA,760,026960904280,16.5,30,63,2,X,80,011691101882,74,2.42222,-60.91917,G,2021-11-19,2002-04-03,,4d5c019fda7fb,2023-04-30,,
LIC-LIC-01,TELEFONICA BRASIL S.A.,50409146285,010,52062014,659113937,"RODOVIA BR-174,S/N,MORRO",,RR,1400308,200KG7W,GSM,,,885,,360,FB,,NA,760,007690501705,15,30,87,2,X,53,000910502519,32.6,2.42222,-60.91917,G,2021-11-19,2002-04-03,,4d5c019fda7fc,2028-11-29,,
LIC-LIC-01,TELEFONICA BRASIL S.A.,50409146285,010,52062014,659113937,"RODOVIA BR-174,S/N,MORRO",,RR,1400308,200KG7W,GSM,,,892.75,,110,FB,,NA,760,007690501705,15,30,87,2,X,54,000910502519,32.6,2.42222,-60.91917,G,2021-11-19,2002-04-03,,4d5c019fda7fd,2028-11-29,,
LIC-LIC-01,TELEFONICA BRASIL S.A.,50409146285,010,52062014,659113937,"RODOVIA BR-174,S/N,MORRO",,RR,1400308,200KG7W,GSM,,,892.75,,360,FB,,NA,760,007690501705,15,30,87,2,X,61,000910502519,32.6,2.42222,-60.91917,G,2021-11-19,2002-04-03,,4d5c019fda7fe,2028-11-29,,
LIC-LIC-01,TELEFONICA BRASIL S.A.,50409146285,010,17012008,659113937,"RODOVIA BR-174,S/N,MORRO",,RR,1400308,5M00G9W,WCDMA,,,2160,,360,FB,,NA,760,026960904280,16,27,65,2,X,80,016041001882,40,2.42222,-60.91917,G,2021-11-19,2002-04-03,,4d5c019fda7ff,2023-04-30,,
LIC-LIC-01,TELEFONICA BRASIL S.A.,50409146285,010,17012008,659113937,"RODOVIA BR-174,S/N,MORRO",,RR,1400308,5M00G9W,WCDMA,,,2160,,360,FB,,NA,760,026960904280,16.5,30,63,2,X,80,016041001882,40,2.42222,-60.91917,G,2021-11-19,2002-04-03,,4d5c019fda800,2023-04-30,,
LIC-LIC-01,TELEFONICA BRASIL S.A.,50409146285,010,17012008,659113937,"RODOVIA BR-174,S/N,MORRO",,RR,1400308,5M00G9W,WCDMA,,,2160,,110,FB,,NA,760,026960904280,16.5,30,63,2,X,80,016041001882,40,2.42222,-60.91917,G,2021-11-19,2002-04-03,,4d5c019fda801,2023-04-30,,
LIC-LIC-01,TELEFONICA BRASIL S.A.,50409146285,010,35312011,659113937,"RODOVIA BR-174,S/N,MORRO",,RR,1400308,200KG7W,GSM,,,1831.25,,110,FB,,NA,760,026960904280,16,27,65,2,X,80,011691101882,74,2.42222,-60.91917,G,2021-11-19,2002-04-03,,4d5c019fda802,2023-04-30,,
LIC-LIC-01,TELEFONICA BRASIL S.A.,50409146285,010,35312011,659113937,"RODOVIA BR-174,S/N,MORRO",,RR,1400308,200KG7W,GSM,,,1831.25,,110,FB,,NA,760,026960904280,16.5,30,63,2,X,80,011691101882,74,2.42222,-60.91917,G,2021-11-19,2002-04-03,,4d5c019fda803,2023-04-30,,
LIC-LIC-01,TELEFONICA BRASIL S.A.,50409146285,010,35312011,659113937,"RODOVIA BR-174,S/N,MORRO",,RR,1400308,200KG7W,GSM,,,1831.25,,240,FB,,NA,760,026960904280,16.5,30,63,2,X,80,011691101882,74,2.42222,-60.91917,G,2021-11-19,2002-04-03,,4d5c019fda804,2023-04-30,,
LIC-LIC-01,TELEFONICA BRASIL S.A.,50409146285,010,35312011,659113937,"RODOVIA BR-174,S/N,MORRO",,RR,1400308,200KG7W,GSM,,,1862.5,,360,FB,,NA,760,026960904280,16,27,65,2,X,80,011691101882,74,2.42222,-60.91917,G,2021-11-19,2002-04-03,,4d5c019fda805,2023-04-30,,
LIC-LIC-01,TELEFONICA BRASIL S.A.,50409146285,010,35312011,659113937,"RODOVIA BR-174,S/N,MORRO",,RR,1400308,200KG7W,GSM,,,1862.5,,110,FB,,NA,760,026960904280,16,27,65,2,X,80,011691101882,74,2.42222,-60.91917,G,2021-11-19,2002-04-03,,4d5c019fda806,2023-04-30,,
LIC-LIC-01,TELEFONICA BRASIL S.A.,50409146285,010,35312011,659113937,"RODOVIA BR-174,S/N,MORRO",,RR,1400308,200KG7W,GSM,,,1867.5,,110,FB,,NA,760,026960904280,16,27,65,2,X,80,011691101882,74,2.42222,-60.91917,G,2021-11-19,2002-04-03,,4d5c019fda807,2023-04-30,,
LIC-LIC-01,TELEFONICA BRASIL S.A.,50409146285,010,35312011,659113937,"RODOVIA BR-174,S/N,MORRO",,RR,1400308,200KG7W,GSM,,,1867.5,,240,FB,,NA,760,026960904280,16,27,65,2,X,80,011691101882,74,2.42222,-60.91917,G,2021-11-19,2002-04-03,,4d5c019fda808,2023-04-30,,
LIC-LIC-01,TELEFONICA BRASIL S.A.,50409146285,010,52062014,659113937,"RODOVIA BR-174,S/N,MORRO",,RR,1400308,200KG7W,GSM,,,885,,270,FB,,NA,760,007690501705,15,30,87,2,X,54,000910502519,32.6,2.42222,-60.91917,G,2021-11-19,2002-04-03,,4d5c019fda809,2028-11-29,,
LIC-LIC-01,TELEFONICA BRASIL S.A.,50409146285,010,52062014,659113937,"RODOVIA BR-174,S/N,MORRO",,RR,1400308,200KG7W,GSM,,,885,,360,FB,,NA,760,007690501705,15,30,87,2,X,61,000910502519,32.6,2.42222,-60.91917,G,2021-11-19,2002-04-03,,4d5c019fda80a,2028-11-29,,
LIC-LIC-01,TELEFONICA BRASIL S.A.,50409146285,010,52062014,659113937,"RODOVIA BR-174,S/N,MORRO",,RR,1400308,200KG7W,GSM,,,892.75,,270,FB,,NA,760,007690501705,15,30,87,2,X,54,000910502519,32.6,2.42222,-60.91917,G,2021-11-19,2002-04-03,,4d5c019fda80b,2028-11-29,,
LIC-LIC-01,TELEFONICA BRASIL S.A.,50409146285,010,52062014,659113937,"RODOVIA BR-174,S/N,MORRO",,RR,1400308,200KG7W,GSM,,,892.75,,360,FB,,NA,760,009960701705,15.9,34,90,2,X,65,000910502519,32.6,2.42222,-60.91917,G,2021-11-19,2002-04-03,,4d5c019fda80c,2028-11-29,,
