Status.state;NomeEntidade;NumFistel;NumServico;NumAto;NumEstacao;EnderecoEstacao;EndComplemento;SiglaUf;CodMunicipio;DesignacaoEmissao;Tecnologia;tipoTecnologia;meioAcesso;FreqTxMHz;FreqRxMHz;Azimute;CodTipoClasseEstacao;ClassInfraFisica;CompartilhamentoInfraFisica;CodTipoAntena;CodEquipamentoAntena;GanhoAntena;FrenteCostaAntena;AnguloMeiaPotenciaAntena;AnguloElevacao;Polarizacao;AlturaAntena;CodEquipamentoTransmissor;PotenciaTransmissorWatts;Latitude;Longitude;CodDebitoTFI;DataLicenciamento;DataPrimeiroLicenciamento;NumRede;_id;DataValidade;NumFistelAssociado;NomeEntidadeAssociado
LIC-LIC-01;TIM S/A;50409428698;10;16982008;1798120;RUA FIRMINO FONTES;;SE;2800308;5M00G7W;WCDMA;;;2130;1940;190;FB;;NA;760;56001603518;16.15;25;65;-1;X;21;5851101882;40;-10.981556;-37.05375;G;2022-09-22;2002-08-23;;4d5c019f5d547;2029-12-08;;
LIC-LIC-01;TIM S/A;50409428698;10;38332012;1798120;RUA FIRMINO FONTES;;SE;2800308;5M00G7W;WCDMA;;;885;840;190;FB;;NA;760;56001603518;11.96;25;74;-1;X;21;81201882;40;-10.981556;-37.05375;G;2022-09-22;2002-08-23;;4d5c019f5d548;2029-12-08;;
LIC-LIC-01;TIM S/A;50409428698;10;38332012;1798120;RUA FIRMINO FONTES;;SE;2800308;5M00G7W;WCDMA;;;885;840;310;FB;;NA;760;56001603518;11.96;25;74;-2;X;21;81201882;40;-10.981556;-37.05375;G;2022-09-22;2002-08-23;;4d5c019f5d549;2029-12-08;;
LIC-LIC-01;TIM S/A;50409428698;10;38332012;1798120;RUA FIRMINO FONTES;;SE;2800308;200KG7W;GSM;;;1830;1735;190;FB;;NA;760;56001603518;16.15;25;65;-1;X;21;6091702519;20;-10.981556;-37.05375;G;2022-09-22;2002-08-23;;4d5c019f5d54a;2029-12-08;;
LIC-LIC-01;TIM S/A;50409428698;10;105812021;1798120;RUA FIRMINO FONTES;;SE;2800308;100MG7W;NR;SA-NSA;;3550;3550;190;FB;;NA;760;100462102519;25;25;65;-1;X;21;100462102519;31.6;-10.981556;-37.05375;G;2022-09-22;2002-08-23;;4d5c019f5d54b;2029-12-08;;
LIC-LIC-01;TIM S/A;50409428698;10;16982008;1798120;RUA FIRMINO FONTES;;SE;2800308;5M00G7W;WCDMA;;;2130;1940;310;FB;;NA;760;56001603518;16.15;25;65;-2;X;21;5851101882;40;-10.981556;-37.05375;G;2022-09-22;2002-08-23;;4d5c019f5d54c;2029-12-08;;
LIC-LIC-01;TIM S/A;50409428698;10;97812014;1798120;RUA FIRMINO FONTES;;SE;2800308;10M0G7W;NR;SA-NSA;;778;723;190;FB;;NA;760;56001603518;11.96;25;74;-1;X;21;57731705894;40;-10.981556;-37.05375;G;2022-09-22;2002-08-23;;4d5c019f5d54e;2029-12-08;;
LIC-LIC-01;TIM S/A;50409428698;10;97812014;1798120;RUA FIRMINO FONTES;;SE;2800308;10M0G7W;NR;SA-NSA;;778;723;310;FB;;NA;760;56001603518;11.96;25;74;-2;X;21;57731705894;40;-10.981556;-37.05375;G;2022-09-22;2002-08-23;;4d5c019f5d54f;2029-12-08;;
LIC-LIC-01;TIM S/A;50409428698;10;38332012;1798120;RUA FIRMINO FONTES;;SE;2800308;200KG7W;GSM;;;1830;1735;310;FB;;NA;760;56001603518;16.15;25;65;-2;X;21;6091702519;20;-10.981556;-37.05375;G;2022-09-22;2002-08-23;;4d5c019f5d555;2029-12-08;;
LIC-LIC-01;TIM S/A;50409428698;10;105812021;1798120;RUA FIRMINO FONTES;;SE;2800308;100MG7W;NR;SA-NSA;;3550;3550;310;FB;;NA;760;100462102519;25;25;65;-2;X;21;100462102519;31.6;-10.981556;-37.05375;G;2022-09-22;2002-08-23;;4d5c019f5d556;2029-12-08;;
LIC-LIC-01;TIM S/A;50409428698;10;38332012;422351580;AVENIDA JOAO ALVES FILHO,S/N,CENTRO;;SE;2807402;200KG7W;GSM;;;955;952.5;190.0;FB;;NA;396;7690501705;14.3;26.0;81.69;7.00;X;55.0;11560301882;47600;-11.185442;-38.003369;G;2012-10-29;1999-11-08;;4d5c019f8b2ac;2027-08-06;;
